País,N.º Juegos de verano,Column-2,Column-3,Column-4,Column-5,N.º Juegos de invierno,Column-7,Column-8,Column-9,Column-10,N° Juegos Total,Column-12,Column-13,Column-14,Column-15
Israel (ISR),17,3,1,9,13,7,0,0,0,0,24,3,1,9,13
Italia (ITA),28,222,195,215,632,24,42,43,56,141,52,264,238,271,773
Jamaica (JAM)7​,18,26,36,25,87,8,0,0,0,0,26,26,36,25,87
Japón (JPN),23,169,150,180,499,21,17,28,31,76,44,186,178,211,575
Jordania (JOR),11,1,1,1,3,0,0,0,0,0,11,1,1,1,3
Kazajistán (KAZ),7,14,21,36,71,7,1,3,4,8,14,15,24,40,79
Kenia (KEN),15,35,42,36,113,3,0,0,0,0,18,35,42,36,113
Kirguistán (KGZ),7,0,3,4,7,7,0,0,0,0,14,0,3,4,7
Kosovo (KOS),2,3,0,0,3,1,0,0,0,0,3,3,0,0,3
Kuwait (KUW),13,0,0,3,3,0,0,0,0,0,13,0,0,3,3
Letonia (LAT),12,4,11,6,21,11,1,3,6,10,23,5,14,12,31
Líbano (LIB),18,0,2,2,4,17,0,0,0,0,35,0,2,2,4
Liechtenstein (LIE),18,0,0,0,0,19,2,2,6,10,37,2,2,6,10
Lituania (LTU),10,6,7,13,26,9,0,0,0,0,19,6,7,13,26
Luxemburgo (LUX),24,3,2,0,5,9,0,2,0,2,33,3,4,0,7
Macedonia del Norte (MKD),7,0,1,1,2,7,0,0,0,0,14,0,1,1,2
Malasia (MAS),14,0,8,5,13,0,0,0,0,0,14,0,8,5,13
Marruecos (MAR),15,7,5,12,24,7,0,0,0,0,22,7,5,12,24
Mauricio (MRI),10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
México (MEX),24,13,24,36,73,10,0,0,0,0,34,13,24,36,73
Moldavia (MDA),7,0,2,3,5,7,0,0,0,0,9,0,2,3,5
Mongolia (MGL),14,2,11,17,30,14,0,0,0,0,28,2,11,17,30
Montenegro (MON),4,0,1,0,1,3,0,0,0,0,7,0,1,0,1
Mozambique (MOZ),11,1,0,1,2,0,0,0,0,0,11,1,0,1,2
